App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Name
Episode - Choose Your Story,GAME,4.3,1841061,Varies with device,"50,000,000+",Free,0,Teen,Simulation,"July 31, 2018",Varies with device,Varies with device,episodechooseyourstory
The Game of Life,GAME,4.4,18621,63M,"100,000+",Paid,$2.99,Everyone,Board,"July 4, 2018",2.1.2,4.4 and up,thegameoflife
RollerCoaster Tycoon® Classic,GAME,4.6,10795,69M,"100,000+",Paid,$5.99,Everyone,Simulation,"December 21, 2017",1.2.1.1712080,4.0.3 and up,rollercoastertycoonclassic
Call of Duty:Black Ops Zombies,GAME,4.2,13004,46M,"100,000+",Paid,$6.99,Teen,Action,"December 20, 2016",1.0.11,2.3.3 and up,callofdutyblackopszombies
ROBLOX,GAME,4.5,4449882,67M,"100,000,000+",Free,0,Everyone 10+,Adventure;Action & Adventure,"July 31, 2018",2.347.225742,4.1 and up,roblox
Candy Crush Saga,GAME,4.4,22429716,74M,"500,000,000+",Free,0,Everyone,Casual,"July 5, 2018",1.129.0.2,4.1 and up,candycrushsaga
Angry Birds 2,GAME,4.6,3883589,57M,"100,000,000+",Free,0,Everyone,Casual,"July 26, 2018",2.21.1,4.1 and up,angrybirds2
8 Ball Pool,GAME,4.5,14200550,52M,"100,000,000+",Free,0,Everyone,Sports,"July 31, 2018",4.0.0,4.0.3 and up,8ballpool
Fallout Shelter,GAME,4.6,2719142,25M,"10,000,000+",Free,0,Teen,Simulation,"June 11, 2018",1.13.12,4.1 and up,falloutshelter
The Sims™ FreePlay,GAME,4.3,931595,31M,"10,000,000+",Free,0,Teen,Simulation,"July 16, 2018",5.39.1,4.0.3 and up,thesimsfreeplay
MARVEL Contest of Champions,GAME,4.3,2468063,92M,"50,000,000+",Free,0,Teen,Action,"July 30, 2018",19.1.0,4.0.3 and up,marvelcontestofchampions
Choices: Stories You Play,GAME,4.6,807338,93M,"10,000,000+",Free,0,Teen,Simulation,"July 30, 2018",2.3.5,4.0.3 and up,choicesstoriesyouplay
Summoners War,GAME,4.3,2045554,28M,"50,000,000+",Free,0,Teen,Role Playing,"July 30, 2018",4.0.1,4.0.3 and up,summonerswar
FINAL FANTASY BRAVE EXVIUS,GAME,4.6,745684,83M,"5,000,000+",Free,0,Teen,Role Playing,"July 17, 2018",3.0.2,4.0.3 and up,finalfantasybraveexvius
Candy Crush Saga,GAME,4.4,22430188,74M,"500,000,000+",Free,0,Everyone,Casual,"July 5, 2018",1.129.0.2,4.1 and up,candycrushsaga
ROBLOX,GAME,4.5,4449910,67M,"100,000,000+",Free,0,Everyone 10+,Adventure;Action & Adventure,"July 31, 2018",2.347.225742,4.1 and up,roblox
8 Ball Pool,GAME,4.5,14201891,52M,"100,000,000+",Free,0,Everyone,Sports,"July 31, 2018",4.0.0,4.0.3 and up,8ballpool
Subway Surfers,GAME,4.5,27725352,76M,"1,000,000,000+",Free,0,Everyone 10+,Arcade,"July 12, 2018",1.90.0,4.1 and up,subwaysurfers
Candy Crush Soda Saga,GAME,4.4,6199095,67M,"100,000,000+",Free,0,Everyone,Casual,"July 10, 2018",1.118.4,4.1 and up,candycrushsodasaga
Toy Blast,GAME,4.7,1889582,Varies with device,"50,000,000+",Free,0,Everyone,Puzzle,"July 23, 2018",5423,4.1 and up,toyblast
Clash Royale,GAME,4.6,23136735,97M,"100,000,000+",Free,0,Everyone 10+,Strategy,"June 27, 2018",2.3.2,4.1 and up,clashroyale
Clash of Clans,GAME,4.6,44893888,98M,"100,000,000+",Free,0,Everyone 10+,Strategy,"July 15, 2018",10.322.16,4.1 and up,clashofclans
Farm Heroes Saga,GAME,4.4,7614415,70M,"100,000,000+",Free,0,Everyone,Casual,"July 26, 2018",5.1.8,2.3 and up,farmheroessaga
Pou,GAME,4.3,10486018,24M,"500,000,000+",Free,0,Everyone,Casual,"May 25, 2018",1.4.77,4.0 and up,pou
Temple Run 2,GAME,4.3,8119151,62M,"500,000,000+",Free,0,Everyone,Action,"July 5, 2018",1.49.1,4.0 and up,templerun2
Flow Free,GAME,4.3,1295625,11M,"100,000,000+",Free,0,Everyone,Puzzle,"April 11, 2018",4.0,4.1 and up,flowfree
My Talking Angela,GAME,4.5,9883367,99M,"100,000,000+",Free,0,Everyone,Casual,"July 3, 2018",3.7.2.51,4.1 and up,mytalkingangela
slither.io,GAME,4.4,5235294,Varies with device,"100,000,000+",Free,0,Everyone,Action,"November 14, 2017",Varies with device,2.3 and up,slitherio
Cooking Fever,GAME,4.5,3198176,82M,"100,000,000+",Free,0,Everyone,Arcade,"July 12, 2018",2.8.0,4.0.3 and up,cookingfever
Fishdom,GAME,4.6,2158580,Varies with device,"10,000,000+",Free,0,Everyone,Puzzle,"July 19, 2018",2.21.5,4.0.3 and up,fishdom
Score! Hero,GAME,4.6,5419676,96M,"100,000,000+",Free,0,Everyone,Sports,"June 13, 2018",1.751,4.4 and up,scorehero
Zombie Catchers,GAME,4.7,990723,75M,"10,000,000+",Free,0,Everyone,Action,"May 24, 2018",1.0.27,4.1 and up,zombiecatchers
My Talking Tom,GAME,4.5,14892469,Varies with device,"500,000,000+",Free,0,Everyone,Casual,"July 19, 2018",4.8.0.132,4.1 and up,mytalkingtom
Hill Climb Racing,GAME,4.4,8923818,63M,"100,000,000+",Free,0,Everyone,Racing,"July 2, 2018",1.37.2,4.2 and up,hillclimbracing
Zombie Tsunami,GAME,4.4,4921451,Varies with device,"100,000,000+",Free,0,Everyone 10+,Arcade,"June 15, 2018",Varies with device,Varies with device,zombietsunami
Doodle Jump,GAME,4.3,1083571,Varies with device,"50,000,000+",Free,0,Everyone,Arcade,"July 20, 2018",Varies with device,Varies with device,doodlejump
Subway Surfers,GAME,4.5,27725352,76M,"1,000,000,000+",Free,0,Everyone 10+,Arcade,"July 12, 2018",1.90.0,4.1 and up,subwaysurfers
Temple Run 2,GAME,4.3,8119154,62M,"500,000,000+",Free,0,Everyone,Action,"July 5, 2018",1.49.1,4.0 and up,templerun2
slither.io,GAME,4.4,5235294,Varies with device,"100,000,000+",Free,0,Everyone,Action,"November 14, 2017",Varies with device,2.3 and up,slitherio
Zombie Catchers,GAME,4.7,990663,75M,"10,000,000+",Free,0,Everyone,Action,"May 24, 2018",1.0.27,4.1 and up,zombiecatchers
Swamp Attack,GAME,4.4,2119218,70M,"50,000,000+",Free,0,Everyone 10+,Action,"June 29, 2018",3.0.1,4.1 and up,swampattack
Earn to Die 2,GAME,4.6,1327265,99M,"50,000,000+",Free,0,Teen,Racing,"April 12, 2017",1.3,2.3.3 and up,earntodie2
Hungry Shark World,GAME,4.5,1242855,27M,"50,000,000+",Free,0,Teen,Action,"July 18, 2018",3.0.0,4.2 and up,hungrysharkworld
Dude Perfect 2,GAME,4.5,401425,70M,"10,000,000+",Free,0,Everyone,Action,"April 12, 2017",1.6.1,4.0.3 and up,dudeperfect2
Shadow Fight 2,GAME,4.6,10979062,88M,"100,000,000+",Free,0,Everyone 10+,Action,"July 2, 2018",1.9.38,3.0 and up,shadowfight2
Alto's Adventure,GAME,4.6,515657,63M,"10,000,000+",Free,0,Everyone,Action,"June 5, 2018",1.7.1,4.0 and up,altosadventure
Agar.io,GAME,4.2,3816799,32M,"100,000,000+",Free,0,Everyone,Action,"July 23, 2018",2.2.8,4.0.3 and up,agario
diep.io,GAME,4.1,347883,20M,"10,000,000+",Free,0,Everyone,Action,"March 16, 2018",1.2.7,4.0.3 and up,diepio
Dragon Hills,GAME,4.5,354373,66M,"10,000,000+",Free,0,Everyone 10+,Action,"October 12, 2017",1.2.7,4.1 and up,dragonhills
Tiny Archers,GAME,4.5,80678,Varies with device,"5,000,000+",Free,0,Mature 17+,Action,"May 25, 2018",Varies with device,Varies with device,tinyarchers
War Robots,GAME,4.6,3073251,33M,"50,000,000+",Free,0,Everyone 10+,Action,"July 25, 2018",4.1.1,4.1 and up,warrobots
Candy Crush Saga,GAME,4.4,22430188,74M,"500,000,000+",Free,0,Everyone,Casual,"July 5, 2018",1.129.0.2,4.1 and up,candycrushsaga
8 Ball Pool,GAME,4.5,14201604,52M,"100,000,000+",Free,0,Everyone,Sports,"July 31, 2018",4.0.0,4.0.3 and up,8ballpool
Solitaire,GAME,4.7,154264,12M,"10,000,000+",Free,0,Everyone,Card,"June 8, 2018",Varies with device,Varies with device,solitaire
Traffic Racer,GAME,4.5,5387781,53M,"100,000,000+",Free,0,Everyone,Racing,"February 27, 2018",2.5,4.1 and up,trafficracer
Hill Climb Racing,GAME,4.4,8923847,63M,"100,000,000+",Free,0,Everyone,Racing,"July 2, 2018",1.37.2,4.2 and up,hillclimbracing
Earn to Die 2,GAME,4.6,1327269,99M,"50,000,000+",Free,0,Teen,Racing,"April 12, 2017",1.3,2.3.3 and up,earntodie2
Flow Free,GAME,4.3,1295625,11M,"100,000,000+",Free,0,Everyone,Puzzle,"April 11, 2018",4.0,4.1 and up,flowfree
Zombie Catchers,GAME,4.7,990796,75M,"10,000,000+",Free,0,Everyone,Action,"May 24, 2018",1.0.27,4.1 and up,zombiecatchers
Angry Birds Rio,GAME,4.4,2610680,46M,"100,000,000+",Free,0,Everyone,Arcade,"July 3, 2018",2.6.9,4.1 and up,angrybirdsrio
Candy Crush Jelly Saga,GAME,4.3,1300619,78M,"50,000,000+",Free,0,Everyone,Puzzle,"July 20, 2018",2.1.10,4.0 and up,candycrushjellysaga
Hungry Shark Evolution,GAME,4.5,6074627,100M,"100,000,000+",Free,0,Teen,Arcade,"July 25, 2018",6.0.0,4.1 and up,hungrysharkevolution
Hill Climb Racing 2,GAME,4.6,2750645,Varies with device,"100,000,000+",Free,0,Everyone,Racing,"August 2, 2018",1.17.2,4.2 and up,hillclimbracing2
Swamp Attack,GAME,4.4,2119235,70M,"50,000,000+",Free,0,Everyone 10+,Action,"June 29, 2018",3.0.1,4.1 and up,swampattack
Score! Hero,GAME,4.6,5419676,96M,"100,000,000+",Free,0,Everyone,Sports,"June 13, 2018",1.751,4.4 and up,scorehero
Jetpack Joyride,GAME,4.4,4638163,96M,"100,000,000+",Free,0,Everyone 10+,Arcade,"July 19, 2018",1.10.12,4.1 and up,jetpackjoyride
Zombie Tsunami,GAME,4.4,4921409,Varies with device,"100,000,000+",Free,0,Everyone 10+,Arcade,"June 15, 2018",Varies with device,Varies with device,zombietsunami
Farm Heroes Saga,GAME,4.4,7614407,70M,"100,000,000+",Free,0,Everyone,Casual,"July 26, 2018",5.1.8,2.3 and up,farmheroessaga
YouTube Kids,FAMILY,4.5,470694,Varies with device,"50,000,000+",Free,0,Everyone,Entertainment;Music & Video,"August 3, 2018",3.43.3,4.1 and up,youtubekids
ROBLOX,FAMILY,4.5,4449910,67M,"100,000,000+",Free,0,Everyone 10+,Adventure;Action & Adventure,"July 31, 2018",2.347.225742,4.1 and up,roblox
Solitaire,FAMILY,4.4,685,26M,"100,000+",Free,0,Everyone,Card;Brain Games,"July 16, 2018",1.7.101,4.1 and up,solitaire
Toca Kitchen 2,FAMILY,4.5,1014822,56M,"50,000,000+",Free,0,Everyone,Educational;Pretend Play,"June 29, 2017",1.2.3-play,4.1 and up,tocakitchen2
Farming Simulator 14,FAMILY,4.5,530854,51M,"10,000,000+",Free,0,Everyone,Simulation;Action & Adventure,"July 17, 2017",1.4.4,2.3.3 and up,farmingsimulator14
Hot Wheels: Race Off,FAMILY,4.5,520609,Varies with device,"10,000,000+",Free,0,Everyone,Racing;Action & Adventure,"June 28, 2018",Varies with device,4.4 and up,hotwheelsraceoff
Thomas & Friends: Race On!,FAMILY,4.1,29319,26M,"5,000,000+",Free,0,Everyone,Casual;Action & Adventure,"May 18, 2018",2.4,4.4 and up,thomasfriendsraceon
ROBLOX,FAMILY,4.5,4450855,67M,"100,000,000+",Free,0,Everyone 10+,Adventure;Action & Adventure,"July 31, 2018",2.347.225742,4.1 and up,roblox
Hot Wheels: Race Off,FAMILY,4.5,520654,Varies with device,"10,000,000+",Free,0,Everyone,Racing;Action & Adventure,"June 28, 2018",Varies with device,4.4 and up,hotwheelsraceoff
Farming Simulator 14,FAMILY,4.5,530904,51M,"10,000,000+",Free,0,Everyone,Simulation;Action & Adventure,"July 17, 2017",1.4.4,2.3.3 and up,farmingsimulator14
LEGO® Juniors Create & Cruise,FAMILY,4.1,673203,73M,"50,000,000+",Free,0,Everyone,Educational;Action & Adventure,"January 19, 2018",6.7.5222,4.1 and up,legojuniorscreatecruise
Plants vs. Zombies™ Heroes,FAMILY,4.4,379415,68M,"10,000,000+",Free,0,Everyone,Casual;Action & Adventure,"June 26, 2018",1.28.01,4.1 and up,plantsvszombiesheroes
PAC-MAN Pop,FAMILY,4.3,24877,54M,"5,000,000+",Free,0,Everyone,Puzzle;Action & Adventure,"June 20, 2018",2.1.6579,4.1 and up,pacmanpop
My Little Pony: Harmony Quest,FAMILY,4.1,148295,26M,"10,000,000+",Free,0,Everyone,Casual;Action & Adventure,"March 5, 2018",1.6,4.1 and up,mylittleponyharmonyquest
Disney Crossy Road,FAMILY,4.5,514088,83M,"10,000,000+",Free,0,Everyone,Arcade;Action & Adventure,"May 30, 2018",3.200.18289,4.4 and up,disneycrossyroad
Toca Kitchen 2,FAMILY,4.5,1014846,56M,"50,000,000+",Free,0,Everyone,Educational;Pretend Play,"June 29, 2017",1.2.3-play,4.1 and up,tocakitchen2
Inside Out Thought Bubbles,FAMILY,4.4,623398,58M,"10,000,000+",Free,0,Everyone,Puzzle;Brain Games,"August 31, 2017",1.22.0,4.0.3 and up,insideoutthoughtbubbles
Frozen Free Fall,FAMILY,4.3,1574197,37M,"50,000,000+",Free,0,Everyone,Puzzle;Action & Adventure,"July 27, 2018",6.7.0,4.2 and up,frozenfreefall
Shopkins World!,FAMILY,4.3,169609,34M,"10,000,000+",Free,0,Everyone,Arcade;Action & Adventure,"June 13, 2018",3.6.1,4.1 and up,shopkinsworld
Toca Builders,FAMILY,4.2,3328,Varies with device,"100,000+",Paid,$3.99,Everyone,Education;Creativity,"July 13, 2017",Varies with device,Varies with device,tocabuilders
Toca Life: City,FAMILY,4.7,31100,24M,"500,000+",Paid,$3.99,Everyone,Education;Pretend Play,"July 6, 2018",1.5-play,4.4 and up,tocalifecity
LEGO® Friends,FAMILY,4.4,854,6.9M,"10,000+",Paid,$4.99,Everyone,Casual;Pretend Play,"December 1, 2015",Varies with device,4.0.3 and up,legofriends
"Alizay, pirate girl",FAMILY,4.5,197,11M,"1,000+",Paid,$2.99,Everyone,Casual;Action & Adventure,"March 23, 2017",4.0.2,2.3 and up,alizaypirategirl
RISK: Global Domination,FAMILY,4.0,68559,75M,"5,000,000+",Free,0,Everyone,Board;Action & Adventure,"July 31, 2018",1.19.56.434,4.4 and up,riskglobaldomination
Tsuro - The Game of the Path,FAMILY,4.7,2195,37M,"10,000+",Paid,$2.99,Everyone,Board;Brain Games,"August 2, 2016",1.3.3,2.3 and up,tsurothegameofthepath
Sago Mini Babies,FAMILY,4.5,253,83M,"10,000+",Paid,$3.99,Everyone,Education;Pretend Play,"October 28, 2016",1.1,4.0.3 and up,sagominibabies
Dr. Panda & Toto's Treehouse,FAMILY,4.4,3396,9.5M,"50,000+",Paid,$3.99,Everyone,Casual;Pretend Play,"December 9, 2014",1.8,4.0 and up,drpandatotostreehouse
Sago Mini Babies,FAMILY,4.5,253,83M,"10,000+",Paid,$3.99,Everyone,Education;Pretend Play,"October 28, 2016",1.1,4.0.3 and up,sagominibabies
Dr. Panda & Toto's Treehouse,FAMILY,4.4,3396,9.5M,"50,000+",Paid,$3.99,Everyone,Casual;Pretend Play,"December 9, 2014",1.8,4.0 and up,drpandatotostreehouse
ROBLOX,FAMILY,4.5,4450890,67M,"100,000,000+",Free,0,Everyone 10+,Adventure;Action & Adventure,"July 31, 2018",2.347.225742,4.1 and up,roblox
PlayKids - Educational cartoons and games for kids,FAMILY,4.1,182173,Varies with device,"10,000,000+",Free,0,Everyone,Entertainment;Music & Video,"July 30, 2018",Varies with device,Varies with device,playkidseducationalcartoonsandgamesforkids
YouTube Kids,FAMILY,4.5,470713,Varies with device,"50,000,000+",Free,0,Everyone,Entertainment;Music & Video,"August 3, 2018",3.43.3,4.1 and up,youtubekids
COOKING MAMA Let's Cook!,FAMILY,4.3,528745,59M,"10,000,000+",Free,0,Everyone,Educational;Pretend Play,"July 26, 2018",1.38.0,4.1 and up,cookingmamaletscook
Shopkins World!,FAMILY,4.3,169609,34M,"10,000,000+",Free,0,Everyone,Arcade;Action & Adventure,"June 13, 2018",3.6.1,4.1 and up,shopkinsworld
Frozen Free Fall,FAMILY,4.3,1574204,37M,"50,000,000+",Free,0,Everyone,Puzzle;Action & Adventure,"July 27, 2018",6.7.0,4.2 and up,frozenfreefall
Nick,FAMILY,4.2,123322,25M,"10,000,000+",Free,0,Everyone 10+,Entertainment;Music & Video,"January 24, 2018",2.0.8,4.4 and up,nick
Thomas & Friends: Race On!,FAMILY,4.1,29319,26M,"5,000,000+",Free,0,Everyone,Casual;Action & Adventure,"May 18, 2018",2.4,4.4 and up,thomasfriendsraceon
Mad Libs,FAMILY,4.0,8126,61M,"1,000,000+",Free,0,Everyone,Entertainment;Brain Games,"July 31, 2018",1.1.1,6.0 and up,madlibs
Inside Out Thought Bubbles,FAMILY,4.4,623398,58M,"10,000,000+",Free,0,Everyone,Puzzle;Brain Games,"August 31, 2017",1.22.0,4.0.3 and up,insideoutthoughtbubbles
Animal Jam - Play Wild!,FAMILY,4.6,361970,58M,"5,000,000+",Free,0,Everyone,Casual;Pretend Play,"August 2, 2018",28.0.14,4.1 and up,animaljamplaywild
Real Racing 3,FAMILY,4.5,354384,71M,"10,000,000+",Free,0,Everyone,Racing;Action & Adventure,"July 2, 2018",6.4.0,4.1 and up,realracing3
AnatomyMapp,MEDICAL,4.1,80,48M,"5,000+",Paid,$14.99,Everyone,Medical,"November 5, 2013",1.0,3.0 and up,anatomymapp
"Muscle Premium - Human Anatomy, Kinesiology, Bones",MEDICAL,4.2,168,25M,"10,000+",Paid,$24.99,Everyone,Medical,"August 11, 2017",7.1.17,4.4 and up,musclepremiumhumananatomykinesiologybones
AnatomyMapp,MEDICAL,4.1,80,48M,"5,000+",Paid,$14.99,Everyone,Medical,"November 5, 2013",1.0,3.0 and up,anatomymapp
"Muscle Premium - Human Anatomy, Kinesiology, Bones",MEDICAL,4.2,168,25M,"10,000+",Paid,$24.99,Everyone,Medical,"August 11, 2017",7.1.17,4.4 and up,musclepremiumhumananatomykinesiologybones
Facebook,SOCIAL,4.1,78158306,Varies with device,"1,000,000,000+",Free,0,Teen,Social,"August 3, 2018",Varies with device,Varies with device,facebook
Instagram,SOCIAL,4.5,66577313,Varies with device,"1,000,000,000+",Free,0,Teen,Social,"July 31, 2018",Varies with device,Varies with device,instagram
Tumblr,SOCIAL,4.4,2955326,Varies with device,"100,000,000+",Free,0,Mature 17+,Social,"August 1, 2018",Varies with device,Varies with device,tumblr
Snapchat,SOCIAL,4.0,17014787,Varies with device,"500,000,000+",Free,0,Teen,Social,"July 30, 2018",Varies with device,Varies with device,snapchat
Pinterest,SOCIAL,4.6,4305441,Varies with device,"100,000,000+",Free,0,Teen,Social,"August 3, 2018",Varies with device,Varies with device,pinterest
LinkedIn,SOCIAL,4.2,1225339,Varies with device,"100,000,000+",Free,0,Everyone,Social,"August 2, 2018",4.1.202,5.0 and up,linkedin
Tumblr,SOCIAL,4.4,2955325,Varies with device,"100,000,000+",Free,0,Mature 17+,Social,"August 1, 2018",Varies with device,Varies with device,tumblr
Snapchat,SOCIAL,4.0,17014705,Varies with device,"500,000,000+",Free,0,Teen,Social,"July 30, 2018",Varies with device,Varies with device,snapchat
Instagram,SOCIAL,4.5,66577446,Varies with device,"1,000,000,000+",Free,0,Teen,Social,"July 31, 2018",Varies with device,Varies with device,instagram
YouNow: Live Stream Video Chat,SOCIAL,4.1,309872,85M,"10,000,000+",Free,0,Teen,Social,"August 3, 2018",14.0.13,4.1 and up,younowlivestreamvideochat
Snapchat,SOCIAL,4.0,17015352,Varies with device,"500,000,000+",Free,0,Teen,Social,"July 30, 2018",Varies with device,Varies with device,snapchat
Instagram,SOCIAL,4.5,66577313,Varies with device,"1,000,000,000+",Free,0,Teen,Social,"July 31, 2018",Varies with device,Varies with device,instagram
Pinterest,SOCIAL,4.6,4305441,Varies with device,"100,000,000+",Free,0,Teen,Social,"August 3, 2018",Varies with device,Varies with device,pinterest
Timehop,SOCIAL,4.1,161610,16M,"5,000,000+",Free,0,Teen,Social,"August 5, 2018",4.5.3,4.1 and up,timehop
LinkedIn,SOCIAL,4.2,1225367,Varies with device,"100,000,000+",Free,0,Everyone,Social,"August 2, 2018",4.1.202,5.0 and up,linkedin
Wish - Shopping Made Fun,SHOPPING,4.5,6210998,15M,"100,000,000+",Free,0,Everyone,Shopping,"August 3, 2018",4.20.5,4.1 and up,wishshoppingmadefun
Wish - Shopping Made Fun,SHOPPING,4.5,6211039,15M,"100,000,000+",Free,0,Everyone,Shopping,"August 3, 2018",4.20.5,4.1 and up,wishshoppingmadefun
Nike,SHOPPING,4.7,67071,40M,"1,000,000+",Free,0,Everyone,Shopping,"August 1, 2018",2.24.0,4.4 and up,nike
Poshmark - Buy & Sell Fashion,SHOPPING,4.3,46153,17M,"10,000,000+",Free,0,Everyone,Shopping,"August 4, 2018",2.124.01,4.4 and up,poshmarkbuysellfashion
Wish - Shopping Made Fun,SHOPPING,4.5,6211039,15M,"100,000,000+",Free,0,Everyone,Shopping,"August 3, 2018",4.20.5,4.1 and up,wishshoppingmadefun
Best Buy,SHOPPING,4.4,186116,34M,"5,000,000+",Free,0,Everyone,Shopping,"August 3, 2018",11.6.0,4.4 and up,bestbuy
Poshmark - Buy & Sell Fashion,SHOPPING,4.3,46153,17M,"10,000,000+",Free,0,Everyone,Shopping,"August 4, 2018",2.124.01,4.4 and up,poshmarkbuysellfashion
ASOS,SHOPPING,4.7,181798,22M,"10,000,000+",Free,0,Everyone,Shopping,"July 30, 2018",4.4.9,4.4 and up,asos
Wish - Shopping Made Fun,SHOPPING,4.5,6212081,15M,"100,000,000+",Free,0,Everyone,Shopping,"August 3, 2018",4.20.5,4.1 and up,wishshoppingmadefun
ASOS,SHOPPING,4.7,181823,22M,"10,000,000+",Free,0,Everyone,Shopping,"July 30, 2018",4.4.9,4.4 and up,asos
Photo Editor-,PHOTOGRAPHY,4.3,68070,Varies with device,"5,000,000+",Free,0,Everyone,Photography,"May 5, 2018",Varies with device,Varies with device,photoeditor
Photo Editor,PHOTOGRAPHY,4.3,42079,17M,"1,000,000+",Free,0,Everyone,Photography,"September 24, 2015",Varies with device,4.0.3 and up,photoeditor
VSCO,PHOTOGRAPHY,4.4,753115,Varies with device,"50,000,000+",Free,0,Everyone,Photography,"August 3, 2018",71,4.4 and up,vsco
Photo Editor-,PHOTOGRAPHY,4.3,68071,Varies with device,"5,000,000+",Free,0,Everyone,Photography,"May 5, 2018",Varies with device,Varies with device,photoeditor
Photo Editor by Aviary,PHOTOGRAPHY,4.4,1490732,21M,"50,000,000+",Free,0,Everyone,Photography,"July 19, 2018",4.8.4,4.1 and up,photoeditorbyaviary
Photo Editor,PHOTOGRAPHY,4.1,114680,27M,"10,000,000+",Free,0,Everyone,Photography,"February 15, 2018",1.38,4.1 and up,photoeditor
PicsArt Photo Studio: Collage Maker & Pic Editor,PHOTOGRAPHY,4.5,7594559,34M,"100,000,000+",Free,0,Teen,Photography,"August 6, 2018",9.40.3,4.0.3 and up,picsartphotostudiocollagemakerpiceditor
Snapseed,PHOTOGRAPHY,4.5,823109,Varies with device,"50,000,000+",Free,0,Everyone,Photography,"June 29, 2018",2.19.0.201907232,4.4 and up,snapseed
NFL,SPORTS,4.1,459795,Varies with device,"50,000,000+",Free,0,Everyone,Sports,"August 2, 2018",Varies with device,Varies with device,nfl
Premier League - Official App,SPORTS,4.3,63580,24M,"5,000,000+",Free,0,Everyone,Sports,"July 20, 2018",1.1.5,4.1 and up,premierleagueofficialapp
"Bleacher Report: sports news, scores, & highlights",SPORTS,4.4,122282,Varies with device,"5,000,000+",Free,0,Everyone 10+,Sports,"July 20, 2018",Varies with device,Varies with device,bleacherreportsportsnewsscoreshighlights
NFL,SPORTS,4.1,459795,Varies with device,"50,000,000+",Free,0,Everyone,Sports,"August 2, 2018",Varies with device,Varies with device,nfl
"Bleacher Report: sports news, scores, & highlights",SPORTS,4.4,122282,Varies with device,"5,000,000+",Free,0,Everyone 10+,Sports,"July 20, 2018",Varies with device,Varies with device,bleacherreportsportsnewsscoreshighlights
WatchESPN,SPORTS,4.1,288809,6.6M,"10,000,000+",Free,0,Everyone,Sports,"September 27, 2017",2.5.1,4.4 and up,watchespn
NBC Sports,SPORTS,3.1,78442,25M,"5,000,000+",Free,0,Everyone,Sports,"June 22, 2018",5.12.4,4.1 and up,nbcsports
WatchESPN,SPORTS,4.1,288809,6.6M,"10,000,000+",Free,0,Everyone,Sports,"September 27, 2017",2.5.1,4.4 and up,watchespn
UFC,SPORTS,4.0,30840,Varies with device,"1,000,000+",Free,0,Teen,Sports,"May 22, 2018",Varies with device,Varies with device,ufc
"Bleacher Report: sports news, scores, & highlights",SPORTS,4.4,122283,Varies with device,"5,000,000+",Free,0,Everyone 10+,Sports,"July 20, 2018",Varies with device,Varies with device,bleacherreportsportsnewsscoreshighlights
"Bleacher Report: sports news, scores, & highlights",SPORTS,4.4,122283,Varies with device,"5,000,000+",Free,0,Everyone 10+,Sports,"July 20, 2018",Varies with device,Varies with device,bleacherreportsportsnewsscoreshighlights
WatchESPN,SPORTS,4.1,288809,6.6M,"10,000,000+",Free,0,Everyone,Sports,"September 27, 2017",2.5.1,4.4 and up,watchespn
NFL,SPORTS,4.1,459797,Varies with device,"50,000,000+",Free,0,Everyone,Sports,"August 2, 2018",Varies with device,Varies with device,nfl
