App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Name
NCAA Sports,SPORTS,3.9,4272,16M,"500,000+",Free,0,Everyone,Sports,"April 23, 2018",3.0.13,4.1 and up,ncaasports
"Bleacher Report: sports news, scores, & highlights",SPORTS,4.4,122283,Varies with device,"5,000,000+",Free,0,Everyone 10+,Sports,"July 20, 2018",Varies with device,Varies with device,bleacherreportsportsnewsscoreshighlights
NBA,SPORTS,4.4,108318,35M,"10,000,000+",Free,0,Everyone,Sports,"July 9, 2018",2017.7.1,4.4 and up,nba
NHL,SPORTS,4.0,68935,48M,"5,000,000+",Free,0,Everyone,Sports,"June 27, 2018",9.4.0,4.2 and up,nhl
NASCAR MOBILE,SPORTS,4.2,80900,21M,"1,000,000+",Free,0,Everyone,Sports,"July 25, 2018",7.1.7.4,4.4 and up,nascarmobile
WatchESPN,SPORTS,4.1,288809,6.6M,"10,000,000+",Free,0,Everyone,Sports,"September 27, 2017",2.5.1,4.4 and up,watchespn
UFC,SPORTS,4.0,30840,Varies with device,"1,000,000+",Free,0,Teen,Sports,"May 22, 2018",Varies with device,Varies with device,ufc
Real Basketball,SPORTS,4.5,1605267,Varies with device,"10,000,000+",Free,0,Everyone,Sports,"December 5, 2016",Varies with device,Varies with device,realbasketball
Google Trips - Travel Planner,TRAVEL_AND_LOCAL,4.1,26871,Varies with device,"5,000,000+",Free,0,Everyone,Travel & Local,"July 26, 2018",1.10.0.205086730,4.1 and up,googletripstravelplanner
Airbnb,TRAVEL_AND_LOCAL,4.4,359403,Varies with device,"10,000,000+",Free,0,Everyone,Travel & Local,"August 2, 2018",Varies with device,Varies with device,airbnb
Google Earth,TRAVEL_AND_LOCAL,4.3,2338655,Varies with device,"100,000,000+",Free,0,Everyone,Travel & Local,"June 18, 2018",9.2.17.13,4.1 and up,googleearth
Southwest Airlines,TRAVEL_AND_LOCAL,3.9,24781,8.3M,"5,000,000+",Free,0,Everyone,Travel & Local,"July 11, 2018",5.6.1,6.0 and up,southwestairlines
Google Street View,TRAVEL_AND_LOCAL,4.2,2129689,Varies with device,"1,000,000,000+",Free,0,Everyone,Travel & Local,"August 6, 2018",Varies with device,Varies with device,googlestreetview
SNCF,TRAVEL_AND_LOCAL,3.4,15750,Varies with device,"5,000,000+",Free,0,Everyone,Travel & Local,"August 2, 2018",Varies with device,Varies with device,sncf
Fly Delta,TRAVEL_AND_LOCAL,3.7,27560,46M,"5,000,000+",Free,0,Everyone,Travel & Local,"July 31, 2018",4.13.2,5.0 and up,flydelta
United Airlines,TRAVEL_AND_LOCAL,3.5,30447,80M,"5,000,000+",Free,0,Everyone,Travel & Local,"July 20, 2018",2.1.56,5.0 and up,unitedairlines
United Airlines,TRAVEL_AND_LOCAL,3.5,30447,80M,"5,000,000+",Free,0,Everyone,Travel & Local,"July 20, 2018",2.1.56,5.0 and up,unitedairlines
Southwest Airlines,TRAVEL_AND_LOCAL,3.9,24781,8.3M,"5,000,000+",Free,0,Everyone,Travel & Local,"July 11, 2018",5.6.1,6.0 and up,southwestairlines
Fly Delta,TRAVEL_AND_LOCAL,3.7,27560,46M,"5,000,000+",Free,0,Everyone,Travel & Local,"July 31, 2018",4.13.2,5.0 and up,flydelta
Airbnb,TRAVEL_AND_LOCAL,4.4,359560,Varies with device,"10,000,000+",Free,0,Everyone,Travel & Local,"August 2, 2018",Varies with device,Varies with device,airbnb
Google Street View,TRAVEL_AND_LOCAL,4.2,2129707,Varies with device,"1,000,000,000+",Free,0,Everyone,Travel & Local,"August 6, 2018",Varies with device,Varies with device,googlestreetview
Google Translate,TOOLS,4.4,5745093,Varies with device,"500,000,000+",Free,0,Everyone,Tools,"August 4, 2018",Varies with device,Varies with device,googletranslate
Calculator,TOOLS,4.3,40770,Varies with device,"100,000,000+",Free,0,Everyone,Tools,"November 21, 2017",Varies with device,Varies with device,calculator
Flashlight,TOOLS,4.7,115409,Varies with device,"10,000,000+",Free,0,Everyone,Tools,"August 6, 2018",Varies with device,Varies with device,flashlight
Calculator ++,TOOLS,4.6,33509,3.6M,"1,000,000+",Free,0,Everyone,Tools,"May 12, 2018",2.2.7,4.4 and up,calculator
Speedtest by Ookla,TOOLS,4.4,1028794,Varies with device,"100,000,000+",Free,0,Everyone,Tools,"July 19, 2018",Varies with device,Varies with device,speedtestbyookla
Microsoft Word,PRODUCTIVITY,4.5,2084126,Varies with device,"500,000,000+",Free,0,Everyone,Productivity,"July 11, 2018",16.0.10325.20043,4.4 and up,microsoftword
Microsoft Excel,PRODUCTIVITY,4.5,1079491,Varies with device,"100,000,000+",Free,0,Everyone,Productivity,"July 14, 2018",16.0.10325.20059,4.4 and up,microsoftexcel
Microsoft OneNote,PRODUCTIVITY,4.4,480643,Varies with device,"100,000,000+",Free,0,Everyone,Productivity,"July 22, 2018",16.0.10325.20024,4.4 and up,microsoftonenote
Dropbox,PRODUCTIVITY,4.4,1861310,61M,"500,000,000+",Free,0,Everyone,Productivity,"August 1, 2018",Varies with device,Varies with device,dropbox
Google Docs,PRODUCTIVITY,4.3,815981,Varies with device,"100,000,000+",Free,0,Everyone,Productivity,"August 6, 2018",Varies with device,Varies with device,googledocs
Microsoft PowerPoint,PRODUCTIVITY,4.5,618798,Varies with device,"100,000,000+",Free,0,Everyone,Productivity,"July 11, 2018",16.0.10325.20043,4.4 and up,microsoftpowerpoint
Verizon Cloud,PRODUCTIVITY,4.3,185632,Varies with device,"50,000,000+",Free,0,Everyone,Productivity,"July 18, 2018",Varies with device,4.4 and up,verizoncloud
myAT&T,PRODUCTIVITY,3.7,80847,Varies with device,"50,000,000+",Free,0,Everyone,Productivity,"July 18, 2018",Varies with device,5.0 and up,myatt
Trello,PRODUCTIVITY,4.5,72513,12M,"5,000,000+",Free,0,Everyone,Productivity,"July 18, 2018",5.0.1.11068-production,5.0 and up,trello
Microsoft Word,PRODUCTIVITY,4.5,2084125,Varies with device,"500,000,000+",Free,0,Everyone,Productivity,"July 11, 2018",16.0.10325.20043,4.4 and up,microsoftword
Google Sheets,PRODUCTIVITY,4.3,496399,Varies with device,"100,000,000+",Free,0,Everyone,Productivity,"August 6, 2018",Varies with device,Varies with device,googlesheets
Microsoft Excel,PRODUCTIVITY,4.5,1079616,Varies with device,"100,000,000+",Free,0,Everyone,Productivity,"July 14, 2018",16.0.10325.20059,4.4 and up,microsoftexcel
Google Docs,PRODUCTIVITY,4.3,815974,Varies with device,"100,000,000+",Free,0,Everyone,Productivity,"August 6, 2018",Varies with device,Varies with device,googledocs
Microsoft PowerPoint,PRODUCTIVITY,4.5,618796,Varies with device,"100,000,000+",Free,0,Everyone,Productivity,"July 11, 2018",16.0.10325.20043,4.4 and up,microsoftpowerpoint
Microsoft OneNote,PRODUCTIVITY,4.4,480640,Varies with device,"100,000,000+",Free,0,Everyone,Productivity,"July 22, 2018",16.0.10325.20024,4.4 and up,microsoftonenote
Google Slides,PRODUCTIVITY,4.2,244567,Varies with device,"100,000,000+",Free,0,Everyone,Productivity,"August 6, 2018",Varies with device,Varies with device,googleslides
Microsoft OneNote,PRODUCTIVITY,4.4,480638,Varies with device,"100,000,000+",Free,0,Everyone,Productivity,"July 22, 2018",16.0.10325.20024,4.4 and up,microsoftonenote
Dropbox,PRODUCTIVITY,4.4,1861309,61M,"500,000,000+",Free,0,Everyone,Productivity,"August 1, 2018",Varies with device,Varies with device,dropbox
Yahoo Weather,WEATHER,4.4,1312037,Varies with device,"10,000,000+",Free,0,Everyone,Weather,"August 1, 2018",Varies with device,Varies with device,yahooweather
Google Play Movies & TV,VIDEO_PLAYERS,3.7,906384,Varies with device,"1,000,000,000+",Free,0,Teen,Video Players & Editors,"August 6, 2018",Varies with device,Varies with device,googleplaymoviestv
Twitter,NEWS_AND_MAGAZINES,4.3,11667403,Varies with device,"500,000,000+",Free,0,Mature 17+,News & Magazines,"August 6, 2018",Varies with device,Varies with device,twitter
Sky News,NEWS_AND_MAGAZINES,4.0,30287,19M,"1,000,000+",Free,0,Everyone 10+,News & Magazines,"August 3, 2018",4.11.0.611033,4.1 and up,skynews
РИА Новости,NEWS_AND_MAGAZINES,4.5,44274,8.0M,"1,000,000+",Free,0,Everyone,News & Magazines,"August 6, 2018",4.0.6,4.4 and up,
The Washington Post Classic,NEWS_AND_MAGAZINES,4.5,23158,Varies with device,"1,000,000+",Free,0,Everyone 10+,News & Magazines,"July 17, 2018",Varies with device,Varies with device,thewashingtonpostclassic
USA TODAY,NEWS_AND_MAGAZINES,4.1,49259,Varies with device,"5,000,000+",Free,0,Everyone 10+,News & Magazines,"August 2, 2018",Varies with device,Varies with device,usatoday
The Guardian,NEWS_AND_MAGAZINES,4.7,247992,22M,"5,000,000+",Free,0,Teen,News & Magazines,"July 25, 2018",6.5.1725,4.1 and up,theguardian
NBC News,NEWS_AND_MAGAZINES,4.1,63020,Varies with device,"5,000,000+",Free,0,Everyone 10+,News & Magazines,"February 13, 2018",Varies with device,Varies with device,nbcnews
USA TODAY,NEWS_AND_MAGAZINES,4.1,49259,Varies with device,"5,000,000+",Free,0,Everyone 10+,News & Magazines,"August 2, 2018",Varies with device,Varies with device,usatoday
Twitter,NEWS_AND_MAGAZINES,4.3,11667403,Varies with device,"500,000,000+",Free,0,Mature 17+,News & Magazines,"August 6, 2018",Varies with device,Varies with device,twitter
USA TODAY,NEWS_AND_MAGAZINES,4.1,49259,Varies with device,"5,000,000+",Free,0,Everyone 10+,News & Magazines,"August 2, 2018",Varies with device,Varies with device,usatoday
NBC News,NEWS_AND_MAGAZINES,4.1,63020,Varies with device,"5,000,000+",Free,0,Everyone 10+,News & Magazines,"February 13, 2018",Varies with device,Varies with device,nbcnews
Uber,MAPS_AND_NAVIGATION,4.2,4928420,Varies with device,"100,000,000+",Free,0,Everyone,Maps & Navigation,"August 6, 2018",Varies with device,Varies with device,uber
Snapchat,SOCIAL,4.0,17000166,Varies with device,"500,000,000+",Free,0,Teen,Social,"July 30, 2018",Varies with device,Varies with device,snapchat
Flashlight,TOOLS,4.5,162335,4.9M,"10,000,000+",Free,0,Everyone,Tools,"July 6, 2018",8.10.1,4.0 and up,flashlight
aa,FAMILY,4.2,886418,6.5M,"50,000,000+",Free,0,Everyone,Strategy,"June 30, 2018",1.7.3,4.1 and up,aa
Pou,FAMILY,4.3,10483141,24M,"500,000,000+",Free,0,Everyone,Casual,"May 25, 2018",1.4.77,4.0 and up,pou
Agar.io,GAME,4.2,3815614,32M,"100,000,000+",Free,0,Everyone,Action,"July 23, 2018",2.2.8,4.0.3 and up,agario
UNO ™ & Friends,GAME,4.1,1728557,Varies with device,"50,000,000+",Free,0,Everyone,Card,"September 20, 2017",Varies with device,Varies with device,unofriends
My Talking Tom,FAMILY,4.5,14885236,Varies with device,"500,000,000+",Free,0,Everyone,Casual,"July 19, 2018",4.8.0.132,4.1 and up,mytalkingtom
Netflix,FAMILY,4.4,5453997,Varies with device,"100,000,000+",Free,0,Teen,Entertainment,"July 31, 2018",Varies with device,Varies with device,netflix
Subway Surfers,GAME,4.5,27711703,76M,"1,000,000,000+",Free,0,Everyone 10+,Arcade,"July 12, 2018",1.90.0,4.1 and up,subwaysurfers
Super Mario Run,GAME,3.7,1221896,70M,"100,000,000+",Free,0,Everyone,Action,"July 12, 2018",3.0.11,4.2 and up,supermariorun
LEGO® Juniors Create & Cruise,FAMILY,4.1,672089,73M,"50,000,000+",Free,0,Everyone,Educational;Action & Adventure,"January 19, 2018",6.7.5222,4.1 and up,legojuniorscreatecruise
WhatsApp Messenger,COMMUNICATION,4.4,69109672,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device,whatsappmessenger
Google Translate,TOOLS,4.4,5741684,Varies with device,"500,000,000+",Free,0,Everyone,Tools,"August 4, 2018",Varies with device,Varies with device,googletranslate
Pokémon GO,GAME,4.1,10421284,85M,"100,000,000+",Free,0,Everyone,Adventure,"July 23, 2018",0.111.3,4.4 and up,pokmongo
Instagram,SOCIAL,4.5,66509917,Varies with device,"1,000,000,000+",Free,0,Teen,Social,"July 31, 2018",Varies with device,Varies with device,instagram
My Talking Angela,FAMILY,4.5,9876369,99M,"100,000,000+",Free,0,Everyone,Casual,"July 3, 2018",3.7.2.51,4.1 and up,mytalkingangela
YouTube Kids,FAMILY,4.5,469851,Varies with device,"50,000,000+",Free,0,Everyone,Entertainment;Music & Video,"August 3, 2018",3.43.3,4.1 and up,youtubekids
Asphalt 8: Airborne,GAME,4.5,8389714,92M,"100,000,000+",Free,0,Teen,Racing,"July 4, 2018",3.7.1a,4.0.3 and up,asphalt8airborne
PAC-MAN,GAME,4.2,685450,37M,"100,000,000+",Free,0,Everyone,Arcade,"May 15, 2018",6.6.3,4.1 and up,pacman
Basketball Stars,SPORTS,4.4,867920,45M,"10,000,000+",Free,0,Everyone,Sports,"July 14, 2018",1.16.2,4.0.3 and up,basketballstars
Toca Kitchen 2,FAMILY,4.5,1013465,56M,"50,000,000+",Free,0,Everyone,Educational;Pretend Play,"June 29, 2017",1.2.3-play,4.1 and up,tocakitchen2
Rolling Sky,GAME,4.5,1117212,50M,"50,000,000+",Free,0,Everyone,Board,"August 3, 2018",Varies with device,4.0.3 and up,rollingsky
Chick-fil-A,FOOD_AND_DRINK,4.3,27931,17M,"5,000,000+",Free,0,Everyone,Food & Drink,"August 3, 2018",6.0.1,5.0 and up,chickfila
Flow Free,FAMILY,4.3,1295293,11M,"100,000,000+",Free,0,Everyone,Puzzle,"April 11, 2018",4.0,4.1 and up,flowfree
Microsoft Word,PRODUCTIVITY,4.5,2078744,Varies with device,"500,000,000+",Free,0,Everyone,Productivity,"July 11, 2018",16.0.10325.20043,4.4 and up,microsoftword
Alto's Adventure,GAME,4.6,515240,63M,"10,000,000+",Free,0,Everyone,Action,"June 5, 2018",1.7.1,4.0 and up,altosadventure
Zombie Tsunami,GAME,4.4,4918776,Varies with device,"100,000,000+",Free,0,Everyone 10+,Arcade,"June 15, 2018",Varies with device,Varies with device,zombietsunami
Bible,BOOKS_AND_REFERENCE,4.7,2440695,Varies with device,"100,000,000+",Free,0,Teen,Books & Reference,"August 2, 2018",Varies with device,Varies with device,bible
Facebook,SOCIAL,4.1,78128208,Varies with device,"1,000,000,000+",Free,0,Teen,Social,"August 3, 2018",Varies with device,Varies with device,facebook
8 Ball Pool,SPORTS,4.5,14184910,52M,"100,000,000+",Free,0,Everyone,Sports,"July 31, 2018",4.0.0,4.0.3 and up,8ballpool
MORTAL KOMBAT X,GAME,4.4,3039889,18M,"10,000,000+",Free,0,Mature 17+,Action,"June 27, 2018",1.18.2,4.0 and up,mortalkombatx
Hungry Shark Evolution,GAME,4.5,6071542,100M,"100,000,000+",Free,0,Teen,Arcade,"July 25, 2018",6.0.0,4.1 and up,hungrysharkevolution
Hay Day,FAMILY,4.5,10053186,94M,"100,000,000+",Free,0,Everyone,Casual,"June 28, 2018",1_39_93,4.0.3 and up,hayday
Block! Hexa Puzzle™,FAMILY,4.5,472247,Varies with device,"50,000,000+",Free,0,Everyone,Puzzle,"July 31, 2018",1.5.10,4.1 and up,blockhexapuzzle
Clash of Clans,FAMILY,4.6,44881447,98M,"100,000,000+",Free,0,Everyone 10+,Strategy,"July 15, 2018",10.322.16,4.1 and up,clashofclans
Clash Royale,FAMILY,4.6,23125280,97M,"100,000,000+",Free,0,Everyone 10+,Strategy,"June 27, 2018",2.3.2,4.1 and up,clashroyale
Candy Crush Saga,FAMILY,4.4,22419455,74M,"500,000,000+",Free,0,Everyone,Casual,"July 5, 2018",1.129.0.2,4.1 and up,candycrushsaga
Hill Climb Racing,GAME,4.4,8921451,63M,"100,000,000+",Free,0,Everyone,Racing,"July 2, 2018",1.37.2,4.2 and up,hillclimbracing
Dubsmash,VIDEO_PLAYERS,4.2,1971777,29M,"100,000,000+",Free,0,Teen,Video Players & Editors,"May 11, 2018",2.35.8,4.1 and up,dubsmash
Discord - Chat for Gamers,COMMUNICATION,4.5,305347,39M,"10,000,000+",Free,0,Teen,Communication,"July 27, 2018",7.1.8,4.1 and up,discordchatforgamers
Hitman Sniper,GAME,4.6,408292,29M,"10,000,000+",Paid,$0.99,Mature 17+,Action,"July 12, 2018",1.7.110758,4.1 and up,hitmansniper
Fruit Ninja®,GAME,4.3,5091448,41M,"100,000,000+",Free,0,Everyone,Arcade,"July 12, 2018",2.6.7.487220,4.1 and up,fruitninja
Temple Run 2,GAME,4.3,8116142,62M,"500,000,000+",Free,0,Everyone,Action,"July 5, 2018",1.49.1,4.0 and up,templerun2
Geometry Dash Meltdown,GAME,4.6,1591129,48M,"50,000,000+",Free,0,Everyone,Arcade,"December 22, 2017",1.01,4.0 and up,geometrydashmeltdown
Dropbox,PRODUCTIVITY,4.4,1860844,61M,"500,000,000+",Free,0,Everyone,Productivity,"August 1, 2018",Varies with device,Varies with device,dropbox
Smash Hit,GAME,4.5,4147718,79M,"100,000,000+",Free,0,Everyone,Arcade,"November 26, 2015",1.4.0,2.3 and up,smashhit
Bad Piggies,FAMILY,4.3,1168959,66M,"50,000,000+",Free,0,Everyone,Puzzle,"May 3, 2017",2.3.3,4.1 and up,badpiggies
Temple Run,GAME,4.3,4000433,42M,"100,000,000+",Free,0,Everyone,Arcade,"August 2, 2018",1.9.1,4.0 and up,templerun
E!,FAMILY,3.1,740,20M,"100,000+",Free,0,Teen,Entertainment,"May 24, 2018",3.3.1.41,4.4 and up,e
WWE,FAMILY,4.5,736824,20M,"10,000,000+",Free,0,Teen,Entertainment,"January 19, 2018",3.17.2,4.1 and up,wwe
Pinterest,SOCIAL,4.6,4300936,Varies with device,"100,000,000+",Free,0,Teen,Social,"August 3, 2018",Varies with device,Varies with device,pinterest
ClassDojo,FAMILY,4.4,148536,59M,"10,000,000+",Free,0,Everyone,Education;Education,"August 3, 2018",4.21.1,4.1 and up,classdojo
Wish - Shopping Made Fun,SHOPPING,4.5,6200739,15M,"100,000,000+",Free,0,Everyone,Shopping,"August 3, 2018",4.20.5,4.1 and up,wishshoppingmadefun
Twitter,NEWS_AND_MAGAZINES,4.3,11657972,Varies with device,"500,000,000+",Free,0,Mature 17+,News & Magazines,"July 30, 2018",Varies with device,Varies with device,twitter
Dumb Ways to Die 2: The Games,FAMILY,4.2,1671658,Varies with device,"50,000,000+",Free,0,Teen,Casual,"July 12, 2018",Varies with device,Varies with device,dumbwaystodie2thegames
F-Sim Space Shuttle,FAMILY,4.4,5427,Varies with device,"100,000+",Paid,$4.99,Everyone,Simulation,"January 28, 2014",Varies with device,Varies with device,fsimspaceshuttle
Geometry Dash World,GAME,4.6,759838,63M,"10,000,000+",Free,0,Everyone,Arcade,"December 22, 2017",1.03,4.0 and up,geometrydashworld
Hangouts,COMMUNICATION,4.0,3419464,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"July 21, 2018",Varies with device,Varies with device,hangouts
H&M,LIFESTYLE,3.7,41917,14M,"10,000,000+",Free,0,Everyone,Lifestyle,"July 30, 2018",9.6.3,4.4 and up,hm
Geometry Dash Lite,GAME,4.5,6181640,58M,"100,000,000+",Free,0,Everyone,Arcade,"December 22, 2017",2.2,4.0 and up,geometrydashlite
H*nest Meditation,LIFESTYLE,4.9,145,48M,"5,000+",Paid,$1.99,Mature 17+,Lifestyle,"April 7, 2016",1.0,4.0.3 and up,hnestmeditation
slither.io,GAME,4.4,5231553,Varies with device,"100,000,000+",Free,0,Everyone,Action,"November 14, 2017",Varies with device,2.3 and up,slitherio
Solitaire!,GAME,4.7,403911,23M,"10,000,000+",Free,0,Everyone,Card,"June 24, 2018",2.277.0,4.1 and up,solitaire
Sonic Dash,GAME,4.5,3777822,75M,"100,000,000+",Free,0,Everyone,Arcade,"July 26, 2018",3.8.5.Go,4.1 and up,sonicdash
Zombie Catchers,GAME,4.7,989158,75M,"10,000,000+",Free,0,Everyone,Action,"May 24, 2018",1.0.27,4.1 and up,zombiecatchers
Jetpack Joyride,GAME,4.4,4637439,96M,"100,000,000+",Free,0,Everyone 10+,Arcade,"July 19, 2018",1.10.12,4.1 and up,jetpackjoyride
Tom's Love Letters,FAMILY,4.1,705805,35M,"50,000,000+",Free,0,Everyone,Entertainment,"April 30, 2018",2.3.1.8,4.1 and up,tomsloveletters
Kik,COMMUNICATION,4.3,2451136,Varies with device,"100,000,000+",Free,0,Teen,Communication,"August 3, 2018",Varies with device,Varies with device,kik
KIM KARDASHIAN: HOLLYWOOD,GAME,4.3,1017408,34M,"10,000,000+",Free,0,Teen,Adventure,"July 16, 2018",9.2.0,4.0 and up,kimkardashianhollywood
Tom Loves Angela,FAMILY,4.1,1111915,50M,"100,000,000+",Free,0,Everyone,Entertainment,"April 30, 2018",2.2.1.3,4.1 and up,tomlovesangela
Xbox,FAMILY,4.3,556659,46M,"10,000,000+",Free,0,Everyone,Entertainment,"June 20, 2018",1805.0618.1637,4.1 and up,xbox
The Maze Runner,GAME,4.0,428268,22M,"10,000,000+",Free,0,Everyone,Action,"September 14, 2015",1.8.1,2.3 and up,themazerunner
PicsArt Photo Studio: Collage Maker & Pic Editor,PHOTOGRAPHY,4.5,7590099,34M,"100,000,000+",Free,0,Teen,Photography,"July 31, 2018",9.40.3,4.0.3 and up,picsartphotostudiocollagemakerpiceditor
pixiv,SOCIAL,4.2,86956,24M,"1,000,000+",Free,0,Mature 17+,Social,"August 3, 2018",5.0.109,4.4 and up,pixiv
Q,FAMILY,4.2,69126,60M,"1,000,000+",Free,0,Everyone,Puzzle,"April 19, 2018",2.9.4,4.0 and up,q
ROBLOX,FAMILY,4.5,4443407,67M,"100,000,000+",Free,0,Everyone 10+,Adventure;Action & Adventure,"July 31, 2018",2.347.225742,4.1 and up,roblox
Tumblr,SOCIAL,4.4,2953886,Varies with device,"100,000,000+",Free,0,Mature 17+,Social,"August 1, 2018",Varies with device,Varies with device,tumblr
Tinder,LIFESTYLE,4.0,2789775,68M,"100,000,000+",Free,0,Mature 17+,Lifestyle,"August 2, 2018",9.5.0,4.4 and up,tinder
T-Mobile,TOOLS,4.3,482630,Varies with device,"10,000,000+",Free,0,Everyone,Tools,"August 3, 2018",Varies with device,Varies with device,tmobile
myAT&T,PRODUCTIVITY,3.7,80816,Varies with device,"50,000,000+",Free,0,Everyone,Productivity,"July 18, 2018",Varies with device,5.0 and up,myatt
T-Mobile Tuesdays,LIFESTYLE,4.0,53144,21M,"5,000,000+",Free,0,Everyone,Lifestyle,"July 13, 2018",4.8.0,5.0 and up,tmobiletuesdays
Don't Starve: Pocket Edition,GAME,4.4,17988,7.9M,"100,000+",Paid,$4.99,Teen,Adventure,"July 25, 2018",1.06,5.0 and up,dontstarvepocketedition
"Please, Don't Touch Anything",FAMILY,4.4,1771,46M,"10,000+",Paid,$4.99,Teen,Puzzle,"April 20, 2016",1.1.0,2.3 and up,pleasedonttouchanything
Please Don't Touch Anything 3D,FAMILY,4.2,146,20M,"5,000+",Paid,$5.99,Teen,Puzzle,"December 7, 2016",1.1,4.4 and up,pleasedonttouchanything3d
Don't Starve: Shipwrecked,GAME,4.1,1468,4.9M,"10,000+",Paid,$4.99,Teen,Adventure,"July 10, 2018",0.16,5.0 and up,dontstarveshipwrecked
U by BB&T,FINANCE,4.3,16600,24M,"1,000,000+",Free,0,Everyone,Finance,"June 19, 2018",1.7.7,4.4 and up,ubybbt
Uber,MAPS_AND_NAVIGATION,4.2,4921866,Varies with device,"100,000,000+",Free,0,Everyone,Maps & Navigation,"August 2, 2018",Varies with device,Varies with device,uber
FINAL FANTASY V,FAMILY,4.5,15924,4.2M,"100,000+",Paid,$7.99,Teen,Role Playing,"March 15, 2017",1.2.1,4.0 and up,finalfantasyv
WeChat,COMMUNICATION,4.2,5387631,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"July 31, 2018",Varies with device,Varies with device,wechat
PewDiePie's Tuber Simulator,FAMILY,4.8,1499466,96M,"10,000,000+",Free,0,Teen,Casual,"July 24, 2018",1.25.0,4.1 and up,pewdiepiestubersimulator
PBS KIDS Video,FAMILY,4.2,36214,Varies with device,"5,000,000+",Free,0,Everyone,Education;Music & Video,"July 12, 2018",Varies with device,Varies with device,pbskidsvideo
DRAGON BALL Z DOKKAN BATTLE,GAME,4.1,650114,80M,"10,000,000+",Free,0,Teen,Action,"July 3, 2018",3.11.0,4.0.3 and up,dragonballzdokkanbattle
Angry Birds Blast,FAMILY,4.6,253115,99M,"10,000,000+",Free,0,Everyone,Puzzle,"July 27, 2018",1.6.4,4.4 and up,angrybirdsblast
Angry Birds POP Bubble Shooter,FAMILY,4.5,596628,99M,"10,000,000+",Free,0,Everyone,Casual,"August 2, 2018",3.39.0,4.1 and up,angrybirdspopbubbleshooter
Angry Birds 2,FAMILY,4.6,3881752,57M,"100,000,000+",Free,0,Everyone,Casual,"July 26, 2018",2.21.1,4.1 and up,angrybirds2
Angry Birds Rio,GAME,4.4,2610328,46M,"100,000,000+",Free,0,Everyone,Arcade,"July 3, 2018",2.6.9,4.1 and up,angrybirdsrio
Angry Birds Epic RPG,FAMILY,4.5,2634605,63M,"10,000,000+",Free,0,Everyone,Role Playing,"July 18, 2018",3.0.27430.4799,4.4 and up,angrybirdsepicrpg
Angry Birds Friends,GAME,4.2,829753,48M,"50,000,000+",Free,0,Everyone,Arcade,"June 19, 2018",4.9.0,4.1 and up,angrybirdsfriends
